,stockname,avg_profit,num_trades
0,JPASSOCIAT,0.7079239703754733,320
1,GMRINFRA,,0
2,ASHOKLEY,0.30111286219611094,715
3,SUZLON,0.20947973531441705,137
4,IBREALEST,0.4016166313834196,1199
5,RELCAPITAL,1.6193824440250428,2082
6,ADANIENT,0.3246503405639476,575
7,DLF,0.7882224428199008,1376
8,IDFC,0.1757944907129065,449
9,SOUTHBANK,,0
10,VEDL,1.0238833756918564,2225
11,SAIL,0.37152028335471743,841
12,IDFCBANK,0.1476421063651612,177
13,FEDERALBNK,0.23975251855704277,1152
14,BANKBARODA,0.6760155740190704,1153
15,MANAPPURAM,0.5300808186703572,1109
16,HINDALCO,1.0191200179925106,1984
17,TATASTEEL,2.246641634141257,2496
18,SBIN,0.6070698331221224,1670
19,JINDALSTEL,0.680098865806459,1231
20,RCOM,0.17464220758172644,97
21,HDIL,0.3371254319195673,437
22,L_TFH,0.3420632396609242,780
23,TATAMOTORS,2.5477801273614524,2361
24,NMDC,0.7005918733866762,1725
25,ADANIPOWER,0.20945761779842223,443
26,HCC,0.5589691297967564,414
27,INDIACEM,0.6442542618852268,1584
28,ICICIBANK,0.6573357553414143,2059
29,SUNTV,2.1833330753125084,2312
30,RELINFRA,2.080301040695585,2444
31,PNB,0.6298674538849414,1388
32,JSWSTEEL,1.7348682447201074,1996
33,APOLLOTYRE,0.9647090048880441,1274
34,MOTHERSUMI,1.520864817797038,1388
35,TATAGLOBAL,0.5657089922906777,913
36,RECLTD,0.6811109890499516,1620
37,ONGC,1.0107226223673536,1408
38,RPOWER,0.16729502904416035,96
39,IDEA,0.30474219231270744,675
40,JSWENERGY,0.5265481277833748,589
41,IFCI,0.13475877889485235,26
42,DHFL,1.4936944662459382,1990
43,TV18BRDCST,0.23625932185939597,102
44,CANBK,1.0615520419872986,1994
45,BANKINDIA,0.34281215565027895,882
46,ORIENTBANK,0.5157972202250707,1250
47,PFC,0.5671105025271169,1446
48,EXIDEIND,0.6951728873419319,1428
49,NCC,0.4932082709679921,592
50,KTKBANK,0.3632783319124341,1032
51,BHARATFIN,3.2705610635122846,2667
52,M_MFIN,1.4158007125805183,1854
53,GRASIM,2.9498068844407137,2130
54,NATIONALUM,0.5314773647656221,1106
55,AXISBANK,1.5759827593193467,2444
56,UNIONBANK,0.7067866495528367,1562
57,AUROPHARMA,2.6391905053669706,2189
58,INFIBEAM,4.300098956914392,1264
59,BEL,8.238275580474184,2149
60,ESCORTS,2.857219487444226,1846
61,FORTIS,1.4685651239318014,1392
62,ALBK,0.2500931589173164,511
63,HINDPETRO,2.2371618014427965,2656
64,MRPL,1.1568654798528444,1038
65,IDBI,0.36310809625692364,682
66,TATAPOWER,0.20390350668363894,407
67,PTC,0.7217194329053289,721
68,NHPC,0.9177762958208233,154
69,NTPC,0.7360294003848176,1197
70,SUNPHARMA,1.5634166675437606,2083
71,IOC,2.2568389359745824,1673
72,BPCL,2.836404710500546,2232
73,INFY,2.475603186628003,1976
74,RELIANCE,2.0341443869591243,1712
75,DISHTV,0.1431477010241894,417
76,JUSTDIAL,3.3539938490028,1640
77,ITC,0.6106735154226619,2067
78,BHEL,0.528826417739279,827
79,SYNDIBANK,0.18633350264603837,479
80,TATAMTRDVR,1.3943007938181624,2260
81,HINDZINC,1.4696175551344561,2151
82,CESC,2.603272387935604,2130
83,GAIL,2.2753589052016676,1856
84,JISLJALEQS,0.3967452929852283,789
85,COALINDIA,0.9808621917801641,1663
86,PCJEWELLER,2.770522320858779,1265
87,ANDHRABANK,0.044633385215197795,33
88,CGPOWER,,0
89,POWERGRID,0.8444895500238997,1484
90,GSFC,0.6540702292961831,1700
91,AMBUJACEM,0.9784904163193688,1292
92,ADANIPORTS,1.1627562377863483,2340
93,SREINFRA,0.6019619298217912,1363
94,EQUITAS,0.5969729432817489,1314
95,IRB,0.7598605790337255,1817
96,DCBBANK,0.7447145406401435,944
97,YESBANK,5.596952978386179,3070
98,LICHSGFIN,1.6209926229995337,1920
99,VOLTAS,1.296279159921317,1885
100,TVSMOTOR,1.5810713814271762,1834
101,RDEL,0.4440016284855616,221
102,KOTAKBANK,2.3201636685635636,2049
103,SRTRANSFIN,4.932534946486228,2414
104,UJJIVAN,1.7979096501346434,1782
105,WIPRO,1.3115961493848185,1947
106,PETRONET,1.328657027437662,1940
107,BALRAMCHIN,0.884045071607874,1472
108,BHARTIARTL,1.3939361644021653,1920
109,HDFCBANK,2.6028706057266793,2334
